bin,python,vulkan,diff,rel_diff
262,4.0473942910e-03,3.9613400000e-03,8.6054290989e-05,2.1261652505e-02
263,6.2763569348e-03,6.2514600000e-03,2.4896934790e-05,3.9667812148e-03
264,8.8386514710e-03,8.8632600000e-03,-2.4608528959e-05,-2.7841949688e-03
265,1.1357169916e-02,1.1357200000e-02,-3.0084215636e-08,-2.6489183359e-06
266,1.3534850709e-02,1.3534800000e-02,5.0709351423e-08,3.7465763390e-06
267,1.5036774692e-02,1.5270700000e-02,-2.3392530752e-04,-1.5556880534e-02
268,1.5936075035e-02,1.6175800000e-02,-2.3972496458e-04,-1.5042911384e-02
269,1.5995176320e-02,1.5995300000e-02,-1.2368041396e-07,-7.7323570234e-06
270,1.5185824500e-02,1.5185900000e-02,-7.5499552303e-08,-4.9717124214e-06
271,1.3385588991e-02,1.3675500000e-02,-2.8991100925e-04,-2.1658442481e-02
272,1.1088526096e-02,1.1088500000e-02,2.6095715498e-08,2.3533980324e-06
273,8.2160555065e-03,8.2159600000e-03,9.5506461224e-08,1.1624369034e-05
274,4.7945374092e-03,4.9525500000e-03,-1.5801259081e-04,-3.2956795889e-02
275,1.3820451646e-03,1.3820100000e-03,3.5164607001e-08,2.5443891326e-05
276,2.2834009285e-03,2.1395800000e-03,1.4382092846e-04,6.2985403309e-02
277,5.3880621842e-03,5.3880700000e-03,-7.8158181437e-09,-1.4505805381e-06
278,8.3350576448e-03,8.3879100000e-03,-5.2852355166e-05,-6.3409705621e-03
279,1.0702769250e-02,1.0703800000e-02,-1.0307503120e-06,-9.6306879823e-05
280,1.2536216452e-02,1.2714600000e-02,-1.7838354848e-04,-1.4229456643e-02
281,1.3807840508e-02,1.3808000000e-02,-1.5949167650e-07,-1.1550805239e-05
282,1.4413441987e-02,1.4641100000e-02,-2.2765801348e-04,-1.5794840238e-02
283,1.4552410336e-02,1.4552500000e-02,-8.9663531990e-08,-6.1614213667e-06
284,1.4108258267e-02,1.4108200000e-02,5.8267199177e-08,4.1300065585e-06
285,1.3191245751e-02,1.3427800000e-02,-2.3655424867e-04,-1.7932669371e-02
286,1.2167805585e-02,1.2167700000e-02,1.0558520212e-07,8.6774234986e-06
287,1.0782780118e-02,1.0782700000e-02,8.0118294620e-08,7.4302075841e-06
288,9.2754755275e-03,9.3696900000e-03,-9.4214472529e-05,-1.0157373845e-02
289,7.7602814295e-03,7.8360100000e-03,-7.5728570540e-05,-9.7584825008e-03
290,6.4521620847e-03,6.4523900000e-03,-2.2791527381e-07,-3.5323860557e-05
291,5.1677219016e-03,5.1676300000e-03,9.1901634467e-08,1.7783780977e-05
292,4.0585955173e-03,3.9290300000e-03,1.2956551733e-04,3.1923732421e-02
293,3.1434555547e-03,2.9830800000e-03,1.6037555472e-04,5.1018871391e-02
294,2.4130226238e-03,2.2293200000e-03,1.8370262380e-04,7.6129673180e-02
295,1.7004450966e-03,1.7003500000e-03,9.5096613555e-08,5.5924542161e-05
296,1.2227682300e-03,1.2229200000e-03,-1.5177003278e-07,-1.2412003268e-04
297,8.2141181701e-04,8.2143500000e-04,-2.3182993904e-08,-2.8223350816e-05
298,4.6422675595e-04,4.6437000000e-04,-1.4324404885e-07,-3.0856482678e-04
299,1.3448450509e-04,1.3406700000e-04,4.1750508992e-07,3.1044846879e-03
300,2.1770023516e-04,2.1760600000e-04,9.4235163118e-08,4.3286660951e-04
301,5.6338372811e-04,5.6353300000e-04,-1.4927188561e-07,-2.6495597564e-04
302,9.5238813195e-04,9.5254000000e-04,-1.5186805050e-07,-1.5946025076e-04
303,1.4108124719e-03,1.4107400000e-03,7.2471911114e-08,5.1368918623e-05
304,1.9645793393e-03,1.9648800000e-03,-3.0066069284e-07,-1.5304074856e-04
305,2.6309335792e-03,2.6308200000e-03,1.1357918948e-07,4.3170679158e-05
306,3.4146598358e-03,3.4141200000e-03,5.3983577362e-07,1.5809357284e-04
